text,pca1,pca2,pca3,pca4,pca5,pca6
380,0.010232345820092097,0.23025874866426346,-0.2550096710880204,0.6831569635658709,0.37991693875995153,-0.025886960376667403
69,-1.6411490543826772,0.2760868008715242,0.193510735160161,0.6903070817226461,0.25700257667060916,-0.05012487644093068
286,-0.25849982783249076,-0.4029659104509472,0.5565404955541167,0.6359861850275212,0.17986622894586432,-0.6795486879532339
66,-1.9277814334558552,-0.3038715039779841,0.3158974904648699,0.6442220188223838,0.33892899341773847,-0.2853668266548059
11,-1.060651121083561,0.013967721726422777,-0.06151729425928175,0.5431815406327322,-0.32769392729706015,-0.4440104432149406
126,-1.093933779713793,-0.11395498642572979,0.13723733685486622,0.4057438493997957,0.014728878366322341,-0.5070494219351338
137,-1.3954436038619562,0.08288154836249648,-0.08304742768856165,0.5351437116937098,0.3133608029573364,0.03671718613733419
92,-1.2858795421919957,-0.15318598388716265,-0.3722566828087245,0.39310326576206905,0.021114042827344758,0.1025212896482225
21,-0.7724085248227905,-0.12792282396400517,-0.43022345439214255,0.17675220341276382,-0.26754663580494636,-0.33222266112595306
141,-1.0761235721155633,-0.5422341733707696,-0.00317803929811349,0.29728241427481783,-0.07314350330735153,-0.6151504383211422
52,-2.3483639963028278,-0.11712282749307032,0.24529949164965179,0.7201096746458585,0.35249415805931783,0.03479039781712935
136,-0.9400579331295782,-0.08748081228650247,0.258172823335694,0.7960377664432884,0.47315917102913024,-0.06298552394649824
463,0.1575658556468816,-0.4428320168760548,-0.33869966852537253,1.0557636898230265,-1.3403360294622213,-0.22475279588244976
71,-1.2557006057146674,-0.05453566198180728,-0.024284125601856107,0.4886700102853869,-0.238189873338469,-0.261631710327599
469,0.2503182349710906,-0.91212166259331,0.49379652746258107,0.7548598352486026,0.013060660146034065,0.403667678499649
180,-0.9156938707342243,-0.32559396026339493,0.19676438851798372,0.921066456838194,0.1208810090391168,-0.1696249140778048
